"1","Alsace"
"2","Aquitaine"
"3","Auvergne"
"4","Basse-Normandie"
"5","Bourgogne"
"6","Bretagne"
"7","Centre"
"8","Champagne-Ardenne"
"9","Corse"
"10","France Outre-Mer"
"11","Franche-Comté"
"12","Haute-Normandie"
"13","Île-de-France"
"14","Languedoc-Rousillon"
"15","Limousin"
"16","Lorraine"
"17","Midi-Pyrénnées"
"18","Nord-Pas-de-Calais"
"19","PACA"
"20","Pays de la Loire"
"21","Picardie"
"22","Poitou-Charentes"
"23","Rhône-Alpes"


23,19
23,14
23,11
23,5
23,3
23,23,"Rhone-alpes"
22,20
22,15
22,7
22,2
22,22,"Poitou-charente"
21,18
21,13
21,12
21,8
21,21,"Picardie"
20,22
20,7
20,6
20,4
20,20,"pays de la loire"
19,14
19,23
19,19,"PACA"
18,21
18,18,"Nord-pas-de-calais"
17,15
17,14
17,3
17,2
17,17,"Midi-pyrénnées"
16,8
16,11
16,1
16,16,"Lorraine"
15,22
15,17
15,7
15,3
15,2
15,15,"Limousin"
14,23
14,19
14,17
14,3
14,14,"languedoc-roussillon"
13,21
13,12
13,7
13,8
13,5
13,13,"ile-de-france"
12,21
12,13
12,7
12,4
12,12,"Haute-normandie"
11,23
11,16
11,8
11,5
11,1
11,11,"Franche-conté"
10,10
9,9,"corse"
8,21
8,16
8,13
8,11
8,5
8,8,"Champagne-ardenne"
7,22
7,20
7,15
7,13
7,12
7,5
7,4
7,3
7,7,"Centre"
6,20
6,4
6,6,"Bretagne"
5,23
5,13
5,11
5,8
5,7
5,3
5,5,"bourgogne"
4,20
4,12
4,7
4,6, "basse-normandie"
4,4
12,4
12,7
12,21
12,13
12,12, Haute Normandie
1,1
1,11
1,16
2,2
2,15
2,17
2,22
3,3
3,5
3,7
3,14
3,15
3,17
3,23
